Date,Close,Volume,SMAVG (15)
3/24/1998,574.38,159039200,181141008
3/23/1998,568.59003,164871808,183673456
3/20/1998,569.90997,192237504,184118032
3/19/1998,565.40997,136231808,182923984
3/18/1998,564.03998,151182704,184931584
3/17/1998,561.95001,162737408,186622432
3/16/1998,560.73999,126616000,188538032
3/13/1998,555.96002,188391104,192026016
3/12/1998,556.88,180922000,192096416
3/11/1998,556.12,181334592,193590784
3/10/1998,554.52002,201747808,192102864
3/9/1998,548.28003,220557296,188963152
3/6/1998,549.84003,201876608,182182400
3/5/1998,536.03998,290207104,180164048
3/4/1998,544.04999,159162208,171234976
3/3/1998,546.96997,197025904,173409888
3/2/1998,545.72998,171540400,171086896
2/27/1998,547.35999,174326800,171300896
2/26/1998,548.10999,166345904,172194272
2/25/1998,545.82001,176545296,173583824
2/24/1998,538.90002,191471504,175215696
2/23/1998,543.59998,178935808,177119408
2/20/1998,538.73999,189447008,175898256
2/19/1998,535.46002,203337600,178438720
2/18/1998,536.59998,159015600,179713440
2/17/1998,530.72998,154652304,181614112
2/13/1998,530.20001,118846000,180982512
2/12/1998,533.70001,171601200,183529152
2/11/1998,531.35999,156271008,183763568
2/10/1998,531.22998,191785904,186230896
2/9/1998,526.34003,162180992,185940816
2/6/1998,528.42999,174750496,187609136
2/5/1998,523.56,187727504,186281328
2/4/1998,526.25,187189200,186541712
2/3/1998,525.78003,201023392,187579072
2/2/1998,523.72998,220027104,190342976
1/30/1998,512.21997,160618592,191078192
1/29/1998,514.67999,227554000,191937936
1/28/1998,510.85999,222458304,187946112
1/27/1998,505.17999,187525600,183296128
1/26/1998,498.14999,145178304,182870736
1/23/1998,498.91,157045696,180164256
1/22/1998,500.97,175117408,177479936
1/21/1998,505.07999,193280896,174405376
1/20/1998,508.73999,187434704,169355248
1/16/1998,496.60001,187205792,159766048
1/15/1998,490.75,154833504,152566672
1/14/1998,494.76999,191633200,151211536
1/13/1998,493.42001,202749600,148435488
1/12/1998,487.51001,242482000,152877248
1/9/1998,479.07999,231055296,148814048
1/8/1998,493.92001,173514704,144963616
1/7/1998,496.10001,167676704,145943328
1/6/1998,498.29999,152708608,149680304
1/5/1998,502.64999,181144608,153216656
1/2/1998,499.75,104581000,155568384
12/31/1997,495.95001,116780896,164010304
12/30/1997,497.07001,128999104,176821264
12/29/1997,486.44,117529000,177385312
12/26/1997,476.47,43596600,179521648
12/24/1997,474.54999,79215200,188018784
12/23/1997,478.39001,134506592,195328912
12/22/1997,486.92001,149992496,197784656
12/19/1997,482.59,269376000,199006768
12/18/1997,487.19,181533904,183762624
12/17/1997,493.01999,173298896,178612112
12/16/1997,495.63,188210400,177631888
12/15/1997,491.64999,223731296,174098688
12/12/1997,487.16,205753792,169493744
12/11/1997,488.39001,216420496,166092880
12/10/1997,496.54001,231209904,159964608
12/9/1997,499.57001,308945216,153360272
12/8/1997,504.06,137459808,143174784
12/5/1997,504.98001,149574096,145695312
12/4/1997,500.12,171053696,147907312
12/3/1997,502.14999,188867008,147875536
12/2/1997,498.64001,171342800,142921088
12/1/1997,500.97,168324096,140148144
11/28/1997,490.59,40713900,141192720
11/26/1997,488.78,104276200,147508464
11/25/1997,488.92001,158595600,151005184
11/24/1997,485.98001,135212496,150762736
